,WRank,LRank,Surface,WPts,LPts,A,B,C,D,E,ACourt,BCourt,CCourt,DCourt,ECourt,AOpponentRank,BOpponentRank,COpponentRank,DOpponentRank,EOpponentRank,APlayerRank,BPlayerRank,CPlayerRank,DPlayerRank,EPlayerRank
0,9,76.0,2,3080,707.0,1,1,1,1,0,2,2,2,2,2,8.0,8.0,8.0,8.0,8.0,86.0,24.0,29.0,59.0,9.0
0,9,94.0,2,3080,609.0,1,1,1,0,1,2,2,2,2,2,8.0,8.0,8.0,8.0,9.0,24.0,29.0,59.0,9.0,76.0
0,9,14.0,2,3080,2315.0,1,1,0,1,1,2,2,2,2,2,8.0,8.0,8.0,9.0,9.0,29.0,59.0,9.0,76.0,94.0
0,49,9.0,2,1026,3080.0,1,0,1,1,1,2,2,2,2,2,8.0,8.0,9.0,9.0,9.0,59.0,9.0,76.0,94.0,14.0
0,8,89.0,2,3235,640.0,0,1,1,1,0,2,2,2,2,2,8.0,9.0,9.0,9.0,9.0,9.0,76.0,94.0,14.0,49.0
0,8,41.0,2,3235,1220.0,1,1,1,0,1,2,2,2,2,2,9.0,9.0,9.0,9.0,8.0,76.0,94.0,14.0,49.0,89.0
0,8,63.0,2,3235,844.0,1,1,0,1,1,2,2,2,2,2,9.0,9.0,9.0,8.0,8.0,94.0,14.0,49.0,89.0,41.0
0,19,8.0,2,2045,3235.0,1,0,1,1,1,2,2,2,2,2,9.0,9.0,8.0,8.0,8.0,14.0,49.0,89.0,41.0,63.0
0,44,8.0,1,1106,3390.0,0,1,1,1,0,2,2,2,2,2,9.0,8.0,8.0,8.0,8.0,49.0,89.0,41.0,63.0,19.0
0,8,96.0,1,3345,634.0,1,1,1,0,0,2,2,2,2,1,8.0,8.0,8.0,8.0,8.0,89.0,41.0,63.0,19.0,44.0
0,8,28.0,1,3345,1450.0,1,1,0,0,1,2,2,2,1,1,8.0,8.0,8.0,8.0,8.0,41.0,63.0,19.0,44.0,96.0
0,8,95.0,1,3345,639.0,1,0,0,1,1,2,2,1,1,1,8.0,8.0,8.0,8.0,8.0,63.0,19.0,44.0,96.0,28.0
0,7,8.0,1,3545,3345.0,0,0,1,1,1,2,1,1,1,1,8.0,8.0,8.0,8.0,8.0,19.0,44.0,96.0,28.0,95.0
0,65,7.0,1,830,3660.0,0,1,1,1,0,1,1,1,1,1,8.0,8.0,8.0,8.0,8.0,44.0,96.0,28.0,95.0,7.0
0,7,74.0,1,3635,780.0,1,1,1,0,0,1,1,1,1,1,8.0,8.0,8.0,8.0,7.0,96.0,28.0,95.0,7.0,65.0
0,7,75.0,1,3635,755.0,1,1,0,0,1,1,1,1,1,1,8.0,8.0,8.0,7.0,7.0,28.0,95.0,7.0,65.0,74.0
0,7,64.0,1,3635,870.0,1,0,0,1,1,1,1,1,1,1,8.0,8.0,7.0,7.0,7.0,95.0,7.0,65.0,74.0,75.0
0,12,7.0,1,2165,3635.0,0,0,1,1,1,1,1,1,1,1,8.0,7.0,7.0,7.0,7.0,7.0,65.0,74.0,75.0,64.0
0,38,8.0,3,1182,3635.0,0,1,1,1,0,1,1,1,1,1,7.0,7.0,7.0,7.0,7.0,65.0,74.0,75.0,64.0,12.0
0,8,190.0,3,3635,299.0,1,1,1,0,0,1,1,1,1,3,7.0,7.0,7.0,7.0,8.0,74.0,75.0,64.0,12.0,38.0
0,8,50.0,3,3635,996.0,1,1,0,0,1,1,1,1,3,3,7.0,7.0,7.0,8.0,8.0,75.0,64.0,12.0,38.0,190.0
0,8,27.0,3,3635,1575.0,1,0,0,1,1,1,1,3,3,3,7.0,7.0,8.0,8.0,8.0,64.0,12.0,38.0,190.0,50.0
0,8,44.0,3,3635,1070.0,0,0,1,1,1,1,3,3,3,3,7.0,8.0,8.0,8.0,8.0,12.0,38.0,190.0,50.0,27.0
0,8,2.0,3,3635,8720.0,0,1,1,1,1,3,3,3,3,3,8.0,8.0,8.0,8.0,8.0,38.0,190.0,50.0,27.0,44.0
0,8,10.0,3,3635,3045.0,1,1,1,1,1,3,3,3,3,3,8.0,8.0,8.0,8.0,8.0,190.0,50.0,27.0,44.0,2.0
0,21,8.0,3,1715,3635.0,1,1,1,1,1,3,3,3,3,3,8.0,8.0,8.0,8.0,8.0,50.0,27.0,44.0,2.0,10.0
0,6,87.0,2,4355,688.0,1,1,1,1,0,3,3,3,3,3,8.0,8.0,8.0,8.0,8.0,27.0,44.0,2.0,10.0,21.0
0,6,125.0,2,4355,459.0,1,1,1,0,1,3,3,3,3,2,8.0,8.0,8.0,8.0,6.0,44.0,2.0,10.0,21.0,87.0
