,P1Rank,P2Rank,P1Pts,P2Pts,Surface,AP1Surface,AP1Rank,AP1OppRank,BP1Surface,BP1Rank,BP1OppRank,CP1Surface,CP1Rank,CP1OppRank,AP2Surface,AP2Rank,AP2OppRank,BP2Surface,BP2Rank,BP2OppRank,CP2Surface,CP2Rank,CP2OppRank,AP1Win,BP1Win,CP1Win,AP2Win,BP2Win,CP2Win
1044,81,57,713,952,2,2,57,81,2,57,81,2,57,81,2,57,81,2,57,81,2,57,81,0,0,0,0,0,1
1073,10,84,3355,695,2,2,10,84,2,10,84,2,10,84,2,10,84,2,10,84,2,10,84,1,1,1,0,0,0
1102,83,93,695,617,2,2,93,83,2,93,83,2,93,83,2,93,83,2,93,83,2,93,83,0,0,1,0,0,0
1131,78,11,733,2435,3,3,11,78,3,11,78,3,11,78,3,11,78,3,11,78,3,11,78,0,1,0,0,0,1
1160,78,47,719,1016,3,3,47,78,3,47,78,3,47,78,3,47,78,3,47,78,3,47,78,1,0,0,1,0,0
1189,78,86,719,668,3,3,78,86,3,78,86,3,78,86,3,78,86,3,78,86,3,78,86,0,0,0,0,0,0
1218,78,35,719,1255,3,3,35,78,3,35,78,3,35,78,3,35,78,3,35,78,3,35,78,0,0,1,0,1,1
1247,5,23,4755,1757,2,2,5,23,2,5,23,2,5,23,2,5,23,2,5,23,2,5,23,0,1,0,1,1,1
1276,23,29,1757,1430,2,2,23,29,2,23,29,2,23,29,2,23,29,2,23,29,2,23,29,1,1,1,0,1,1
1305,34,4,1257,5980,2,2,34,4,2,34,4,2,34,4,2,34,4,2,34,4,2,34,4,1,1,1,1,1,1
1334,16,34,1855,1257,2,2,34,16,2,34,16,2,34,16,2,34,16,2,34,16,2,34,16,1,1,1,1,1,1
1363,34,61,1257,854,2,2,34,61,2,34,61,2,34,61,2,34,61,2,34,61,2,34,61,1,1,0,1,1,0
1392,28,34,1420,1257,2,2,34,28,2,34,28,2,34,28,2,34,28,2,34,28,2,34,28,1,0,1,1,0,0
1421,34,17,1257,1850,2,2,34,17,2,34,17,2,34,17,2,34,17,2,34,17,2,34,17,0,0,1,0,1,0
1450,58,35,875,1277,2,2,58,35,2,58,35,2,58,35,2,58,35,2,58,35,2,58,35,1,0,0,0,1,1
1479,12,31,2475,1322,2,2,12,31,2,12,31,2,12,31,2,12,31,2,12,31,2,12,31,1,0,1,1,1,0
1508,31,108,1322,491,2,2,31,108,2,31,108,2,31,108,2,31,108,2,31,108,2,31,108,1,0,1,1,0,1
1537,49,26,950,1650,2,2,26,49,2,26,49,2,26,49,2,26,49,2,26,49,2,26,49,1,0,1,1,0,1
1566,26,48,1650,1017,2,2,26,48,2,26,48,2,26,48,2,26,48,2,26,48,2,26,48,0,1,1,0,0,1
1595,28,2,1570,6900,2,2,2,28,2,2,28,2,2,28,2,2,28,2,2,28,2,2,28,1,1,0,1,0,1
1624,28,78,1570,701,2,2,28,78,2,28,78,2,28,78,2,28,78,2,28,78,2,28,78,1,0,0,1,0,1
1653,73,28,750,1570,2,2,28,73,2,28,73,2,28,73,2,28,73,2,28,73,2,28,73,0,1,0,0,0,1
1682,26,5,1570,4890,2,2,5,26,2,5,26,2,5,26,2,5,26,2,5,26,2,5,26,0,1,1,0,1,1
1711,8,26,3665,1570,2,2,8,26,2,8,26,2,8,26,2,8,26,2,8,26,2,8,26,1,1,0,1,1,1
1740,22,26,1696,1570,2,2,26,22,2,26,22,2,26,22,2,26,22,2,26,22,2,26,22,1,0,0,1,1,0
